Login attempt on 01-Sep-2021 20:25 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:32 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:37 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:37 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:40 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:41 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:42 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:49 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 20:49 | User: test | Attempt Successful: true
Login attempt on 01-Sep-2021 21:03 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 17:53 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 18:05 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 20:15 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 20:25 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 20:36 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 21:10 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 21:22 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 22:02 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 22:09 | User: test | Attempt Successful: true
Login attempt on 02-Nov-2021 22:19 | User: null | Attempt Successful: false
Login attempt on 02-Nov-2021 22:20 | User: assistant | Attempt Successful: true
Login attempt on 02-Nov-2021 22:34 | User: assistant | Attempt Successful: true
Login attempt on 02-Nov-2021 22:41 | User: assistant | Attempt Successful: true
Login attempt on 02-Nov-2021 22:43 | User: assistant | Attempt Successful: true
Login attempt on 02-Nov-2021 22:53 | User: assistant | Attempt Successful: true
Login attempt on 02-Nov-2021 23:27 | User: assistant | Attempt Successful: true
Login attempt on 03-Nov-2021 00:17 | User: assistant | Attempt Successful: true
Login attempt on 03-Nov-2021 00:49 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:14 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:37 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:37 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:40 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:43 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:44 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:45 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:47 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:55 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 00:56 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 01:05 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 01:25 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 01:34 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 01:44 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 01:46 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 21:59 | User: assistant | Attempt Successful: true
Login attempt on 05-Nov-2021 22:02 | User: assistant | Attempt Successful: true
